square_feet,house_price
3186.24,539341.63
1979.96,304713.1
3490.95,556448.65
2910.52,461340.42
739.04,132562.95
3912.24,638415.4
3140.1,416495.33
3229.83,521492.64
861.21,176535.32
2021.39,305488.36
1734.87,361187.61
3736.35,584486.1
2717.91,448522.75
3361.94,529530.76
1996.29,346590.37
1218.06,273379.5
2396.51,500934.16
629.74,165450.1
3379.47,602504.9
2673.99,516958.03
3129.12,529482.89
1676.29,353861.3
3894.51,669417.04
3615.24,598487.83
3202.18,544694.89
1100.7,159545.32
2080.2,372370.65
557.69,90755.66
955.44,144920.34
2858.98,486425.58
3081.14,467156.42
3883.04,632139.3
1572.97,290495.32
1733.65,316211.21
2090.4,331507.22
1082.1,239643.9
867.72,177539.58
2112.54,382566.5
1216.87,195340.48
2811.33,464734.68
1973.75,384323.31
3397.64,600382.25
2920.95,456566.56
1524.52,260880.46
3396.14,517914.56
3297.15,517340.97
1794.92,271705.55
1437.98,261249.31
2856.98,503420.36
903.11,162295.08
1119.67,215178.03
426.5,107992.95
3232.93,578372.75
2793.46,445187.37
2938.6,467957.26
3210.62,496861.87
2052.1,317705.38
2447.47,436825.69
903.27,181502.4
812.31,173439.1
2806.25,520688.44
2095.95,411653.82
2434.85,354029.97
3154.0,549511.59
2684.99,461418.36
2392.89,391870.43
2413.15,424117.7
1494.22,218075.49
510.94,166944.33
1972.18,363778.81
1172.5,199173.54
1870.7,310494.57
3472.25,498690.24
1242.18,226528.43
609.89,127943.11
1412.98,219457.76
1456.94,293616.22
2782.9,517120.84
2405.32,409784.3
3222.03,520739.84
2791.53,485675.29
1862.99,328774.99
3330.47,504495.68
1001.1,180581.44
481.76,114139.56
724.17,165729.16
3000.49,500447.54
2062.76,366842.64
980.58,151489.99
2203.76,404524.53
948.32,192350.13
2906.75,586931.21
2006.16,337345.24
1771.68,326703.24
1485.44,364560.23
2669.02,457795.06
1702.53,303112.33
715.54,129127.0
824.82,218232.58
3862.83,578060.13
3670.89,619151.17
2918.95,469091.56
1357.13,247551.6
3889.03,570068.33
3203.5,585617.23
2980.8,486035.47
2017.7,310019.53
1380.07,296971.71
747.01,147564.73
3649.37,611876.0
2040.79,385740.4
1128.51,233801.83
1501.44,203810.06
2485.19,448802.95
1036.38,202420.59
3483.81,558614.63
3130.67,515166.28
2990.07,434188.65
1955.53,350013.5
2658.31,396502.1
2502.75,414689.98
2739.45,466964.17
704.0,186231.47
1896.91,306272.02
549.81,172751.83
2178.37,410739.34
1587.5,273981.37
920.29,155222.49
772.25,124167.26
2515.52,437539.93
1014.13,179949.57
3730.43,661919.38
2491.82,398318.66
1648.73,267368.1
2527.3,437887.24
482.09,103509.22
3850.81,628000.35
2136.29,405625.4
3217.85,537493.89
697.83,158120.37
2151.97,380131.51
2166.55,314313.42
3776.18,633620.47
2458.22,424697.17
2104.56,397402.5
1361.11,273435.01
1593.65,282389.37
2274.42,428713.4
1980.08,336799.26
477.8,128439.91
3374.65,543168.8
3626.18,613842.84
904.9,174618.84
2394.53,470093.87
790.87,227042.35
2820.06,507180.92
1412.44,311283.62
2773.92,406259.56
3017.18,445599.88
3167.13,511938.51
787.87,169373.31
3697.64,596026.71
1228.77,183173.14
534.69,162071.27
2397.47,489298.41
1735.32,353437.34
3387.24,603609.2
3309.71,555850.73
1541.7,253681.82
3830.44,627767.95
1447.3,334972.47
2254.21,375363.88
1321.47,233841.15
3769.76,664017.45
992.59,234055.31
561.68,110672.95
1966.35,335844.45
3972.55,623365.94
3610.04,594505.86
3094.99,558919.99
3606.85,556427.21
3616.41,639406.17
2267.89,393877.47
1537.34,356637.29
3179.24,539925.69
2781.98,463525.99
1745.17,331157.91
740.08,151335.77
3088.44,440661.57
1344.86,244098.32
3772.53,604637.39
1267.49,190224.91
841.93,174155.95
3392.01,472064.84
951.82,182426.68
1045.37,214168.02
2557.78,437332.09
3548.42,564693.52
1107.16,213462.98
1517.17,252025.4
3198.66,530242.02
3898.58,637370.7
2202.67,347979.23
918.03,195625.91
450.17,124650.4
1226.76,228839.51
874.56,252296.93
2839.57,470420.45
838.6,167637.87
2222.79,368163.88
2899.34,446552.8
2492.02,449496.75
1119.19,196882.47
