temperature_c,ice_cream_sales
9.84,331.79
39.1,1038.77
43.89,1138.28
28.66,773.55
42.89,1139.89
35.79,1046.17
27.75,791.78
41.57,1211.55
23.73,623.16
21.47,714.1
33.8,935.93
34.95,960.1
19.18,565.26
24.02,836.18
13.63,412.22
9.79,469.05
19.07,628.62
24.71,651.48
11.29,324.59
11.52,399.53
9.96,355.2
40.03,1076.86
32.76,886.99
10.82,463.46
31.45,895.51
24.43,739.04
27.62,797.57
38.14,1056.21
24.04,830.28
16.52,547.49
36.21,1162.96
11.38,431.12
41.99,1110.59
42.66,1241.15
18.8,565.31
35.89,1088.74
41.88,1106.44
41.77,1049.13
9.58,345.5
11.71,480.85
24.62,677.57
27.08,811.87
18.76,528.66
8.06,358.27
22.18,632.57
16.25,522.22
22.91,652.67
15.93,453.28
22.44,545.56
28.52,735.11
19.41,568.66
13.43,462.58
20.86,732.82
15.42,454.31
7.57,250.99
30.35,779.32
30.35,910.19
17.72,577.32
43.37,1211.09
36.56,1034.71
41.1,1105.01
23.78,775.93
25.95,702.18
32.66,887.98
28.52,752.11
31.73,885.49
22.3,610.91
10.31,320.08
37.48,965.05
20.49,554.84
29.33,736.86
19.76,615.5
24.29,655.44
30.56,960.64
28.14,860.33
10.64,370.11
14.42,494.62
11.96,450.39
28.04,771.2
20.78,607.37
14.86,536.11
6.76,337.65
35.7,946.26
7.16,416.8
20.23,524.6
23.23,543.65
23.12,781.4
10.54,407.22
33.38,945.58
14.09,500.77
30.16,813.33
20.12,498.75
25.85,719.19
23.09,635.39
43.21,1120.95
18.86,535.31
11.12,342.68
19.43,557.51
24.96,746.91
7.65,324.71
41.74,1161.42
12.95,271.27
42.22,1094.57
21.17,568.95
27.22,852.22
32.32,857.11
7.6,176.11
21.56,680.26
16.26,512.09
11.74,544.39
31.76,811.13
11.62,377.54
28.32,745.66
20.62,553.33
44.05,1151.87
41.26,1065.68
5.3,243.72
37.43,1039.63
11.75,391.77
23.82,771.59
37.48,1070.49
16.5,562.6
34.35,968.54
14.64,484.48
39.92,1153.63
22.56,595.43
12.97,385.04
7.14,282.77
29.26,834.01
32.32,822.61
32.22,951.25
24.9,808.88
21.11,709.58
29.76,802.42
6.33,309.33
14.58,440.26
15.22,484.75
36.14,1069.55
22.65,746.77
6.83,244.29
40.8,1088.9
20.42,700.28
8.08,295.92
21.74,463.42
42.98,1200.93
37.06,978.38
28.74,801.44
35.36,1019.7
25.66,630.5
37.16,1074.84
38.61,974.28
18.5,517.82
22.82,689.48
14.06,377.65
32.4,836.41
10.48,382.13
23.88,728.8
43.66,1180.89
23.64,728.13
7.73,534.99
5.73,153.95
43.01,1040.78
33.29,999.56
33.38,863.66
19.8,617.08
25.05,762.57
27.34,781.32
35.68,1008.7
25.38,836.95
17.27,494.99
26.3,834.18
32.25,827.62
7.32,303.97
23.94,727.83
18.78,565.01
40.85,1179.35
20.54,615.97
30.16,873.88
23.22,638.14
37.53,978.37
42.19,1093.37
8.34,271.82
5.79,167.8
33.19,1041.69
30.26,838.01
27.18,778.89
22.23,586.9
34.99,1097.45
33.15,913.37
21.67,606.28
18.0,520.16
43.48,1174.22
21.23,612.53
13.36,353.25
43.41,1236.75
33.25,864.4
27.33,831.94
35.71,912.91
13.88,457.35
27.32,721.54
15.94,454.89
39.52,1116.82
10.47,432.58
13.7,551.86
14.75,491.17
22.51,662.3
10.32,300.22
26.78,662.08
34.31,995.02
5.32,217.91
40.49,1112.77
39.09,1053.34
7.03,232.75
7.73,333.95
27.96,901.2
17.54,466.58
24.62,603.0
27.7,778.36
30.51,819.7
34.26,1027.64
39.28,1112.41
29.27,945.4
9.2,394.72
10.45,367.5
29.55,847.57
33.35,957.27
35.16,924.47
25.75,769.77
29.02,907.63
43.98,1161.64
18.93,558.72
13.57,478.57
43.76,1283.92
41.75,1099.23
5.28,246.76
21.08,625.0
34.39,943.4
12.1,290.92
6.28,212.25
6.46,187.77
27.59,781.73
14.21,428.1
15.32,411.53
5.61,224.17
34.04,1062.84
38.75,1028.85
34.34,935.26
10.45,347.72
43.29,1138.53
43.49,1092.48
15.37,592.69
44.32,1098.21
22.77,566.34
6.67,311.61
28.02,677.45
26.07,797.97
39.33,1134.97
19.23,532.58
35.67,994.13
36.47,1008.7
6.4,211.64
31.93,861.23
24.18,695.06
13.1,399.41
21.68,676.43
39.29,1073.2
32.59,941.85
30.09,828.93
8.26,344.92
31.67,944.7
35.34,864.74
43.0,1197.67
36.92,981.37
8.2,278.62
42.74,1187.31
36.68,1024.27
5.13,214.32
33.51,977.36
17.16,539.73
29.2,784.53
16.31,573.71
34.2,1018.91
12.47,412.53
38.38,1026.03
7.92,251.62
5.96,349.47
10.28,345.87
20.38,618.28
31.27,907.02
24.22,539.85
24.03,645.76
39.62,1222.67
27.37,616.46
25.3,642.82
21.78,617.46
44.14,1143.88
14.71,422.76
11.22,311.26
24.69,707.05
32.11,924.19
5.87,270.7
39.28,1032.68
16.32,566.47
30.82,878.96
11.93,462.55
39.88,1114.21
19.36,568.2
12.48,397.75
5.79,265.88
17.35,609.53
20.17,611.72
6.4,272.66
27.21,814.27
23.19,573.2
24.72,632.24
10.34,371.54
20.32,550.7
43.71,1176.99
19.3,581.61
36.72,1162.72
9.97,338.56
9.91,220.97
44.96,1236.16
30.93,934.41
31.59,921.78
22.04,678.81
35.45,941.94
42.13,1127.95
8.28,256.06
11.9,353.3
39.64,1078.57
8.17,359.35
19.37,756.99
8.33,317.0
21.32,665.4
22.89,527.43
12.21,378.75
8.27,398.55
21.7,648.0
25.58,733.19
34.48,1136.09
34.04,1022.38
7.8,341.21
22.52,659.15
38.75,1085.09
28.88,950.26
39.19,1213.8
43.03,1143.62
18.37,461.84
10.32,360.92
8.36,354.74
10.06,459.79
32.3,901.18
9.78,323.64
43.1,1244.13
31.36,828.61
43.22,1166.28
27.54,788.84
13.09,423.02
11.73,469.93
35.72,1025.02
5.0,192.69
40.01,1086.17
6.18,422.37
29.18,742.82
20.55,501.16
29.46,762.09
36.29,1025.41
9.48,405.17
42.85,1164.39
28.83,786.94
20.28,562.89
44.16,1100.1
37.46,1132.59
11.48,374.92
8.54,326.9
41.92,1199.06
28.39,893.08
23.54,674.89
8.09,247.57
26.67,765.48
15.86,488.59
12.72,384.63
20.64,540.33
6.43,284.03
28.91,902.38
29.84,951.21
32.8,874.61
5.91,353.37
12.02,334.55
35.89,1006.31
27.99,862.41
5.36,267.21
34.23,1040.42
21.66,580.11
15.52,477.12
35.17,967.07
19.41,653.72
23.14,664.73
39.43,1099.8
10.99,359.19
27.63,812.37
9.16,283.88
44.11,1135.69
17.47,506.93
41.41,1080.14
19.68,579.84
38.85,1118.08
35.58,909.35
14.3,432.72
30.88,1002.14
14.33,350.65
5.76,176.96
17.02,543.61
33.42,839.32
12.14,395.68
30.11,953.18
35.6,952.33
17.41,481.61
9.08,229.38
28.86,768.73
10.25,341.93
5.1,355.68
10.23,344.54
15.67,483.29
32.1,899.46
18.3,505.23
41.74,1001.94
34.69,1053.85
44.5,1248.69
31.61,956.92
5.86,260.48
10.96,443.41
15.78,401.98
33.13,931.37
30.81,901.22
13.21,509.33
