years_experience,annual_salary
6.13,45305.39
15.74,83553.88
3.73,35395.79
3.92,38771.6
8.23,55545.62
6.35,33141.53
12.93,56915.06
17.8,88383.12
2.77,29839.18
10.94,58888.67
1.77,35740.11
4.43,32593.83
6.18,27331.18
11.58,78793.44
11.1,73520.28
12.86,79591.99
16.38,73357.47
3.74,37486.74
14.87,66889.42
13.34,71211.79
1.59,27795.68
6.89,40504.22
0.55,30965.24
1.8,29242.96
5.68,58646.68
4.86,42704.37
18.0,67629.0
17.88,73068.19
11.56,82215.83
14.7,73580.19
19.99,96892.16
8.2,53791.32
10.45,72900.34
13.02,55325.21
18.41,100073.09
15.94,90874.13
1.29,29558.8
14.26,78212.81
5.04,39670.71
5.1,29361.11
10.94,67948.97
13.93,75713.7
3.18,38284.82
6.29,50874.15
14.32,70293.81
3.04,47586.27
16.99,84544.65
9.12,61256.68
11.72,63842.32
1.61,39029.67
19.09,92647.03
18.15,87846.31
3.8,47964.37
13.26,57634.2
15.86,78278.07
2.44,28636.55
11.55,68412.79
17.01,87058.19
10.13,60375.6
18.48,83952.96
0.96,28153.88
18.38,91931.7
19.54,91977.79
3.12,44776.32
8.62,60062.63
12.42,68605.8
17.86,68758.52
3.19,34420.36
6.68,53422.73
15.96,78620.21
8.2,56126.36
12.1,65549.43
11.2,66060.33
19.46,104330.09
2.83,41201.15
18.97,81026.19
11.28,51226.36
18.08,91831.12
2.36,42598.78
12.83,56620.02
16.8,82129.24
15.74,99067.45
0.2,23546.58
9.04,76861.24
2.31,26485.46
3.06,30522.54
14.13,68816.52
19.13,81727.07
12.68,55856.35
2.05,30396.46
4.88,43238.68
7.58,45786.97
2.51,29965.28
16.96,95926.37
3.89,46389.31
2.59,31999.17
14.51,79236.93
2.54,20786.88
8.21,55879.38
10.31,60586.31
1.6,27622.72
11.12,64167.65
9.6,57580.75
13.37,61280.02
4.38,53778.4
7.13,57570.58
13.19,68073.51
0.71,13407.22
2.32,13455.41
5.67,60886.26
2.13,31055.66
0.79,33869.73
19.75,86526.94
9.12,54444.23
10.67,60307.22
5.1,44775.03
0.15,26257.05
15.01,70172.57
14.48,68201.21
19.45,92425.48
0.42,12442.65
2.74,28006.84
14.24,73616.77
6.6,51285.15
1.28,41491.6
6.02,42255.35
1.75,31429.1
16.75,68693.49
17.54,89063.83
12.74,62307.43
7.71,49525.93
15.38,82622.3
12.63,73352.79
15.84,68808.76
10.22,67179.12
19.17,91773.15
5.8,55439.79
12.08,78985.99
16.16,94412.73
17.88,76175.74
18.93,94490.66
7.9,40031.57
13.99,84365.6
5.8,56863.97
12.99,78280.96
3.68,34499.05
8.43,58855.56
18.4,84998.63
16.22,81873.6
9.93,59017.76
2.94,19292.43
7.97,46423.97
2.77,52874.4
1.37,29103.4
18.13,89737.62
9.83,59330.84
1.79,27973.02
14.33,75455.66
1.48,26936.63
7.92,34467.98
4.61,47410.16
3.29,49427.08
10.67,53035.02
14.39,72075.48
9.74,71102.92
16.42,76284.95
18.35,92318.82
16.14,116118.04
19.13,97012.57
18.58,90583.12
16.65,90329.86
5.85,51698.26
3.49,31905.14
14.54,61999.25
16.91,88938.34
16.46,88569.51
12.87,67673.49
16.6,96252.34
14.14,86059.52
13.31,77771.75
0.93,26031.38
9.21,40505.81
0.68,25974.39
1.85,16776.37
10.82,44013.59
0.95,33500.8
18.26,98303.88
9.01,40919.1
14.0,71945.3
2.96,35205.72
16.95,81992.43
9.56,47436.58
11.18,74762.61
12.97,59586.77
10.8,47199.29
11.26,53427.52
14.89,80967.37
16.13,79315.37
6.12,40269.65
18.44,93764.64
7.08,52433.79
5.45,25604.22
6.23,50940.67
7.17,59545.92
6.34,46199.69
16.88,82183.19
11.22,79431.69
19.35,87056.63
1.68,29551.61
12.28,70626.45
1.92,32109.22
9.18,54941.23
7.65,52505.24
13.62,85205.81
14.91,83642.4
4.76,41068.81
3.87,31648.52
8.39,48517.7
4.84,49540.85
13.53,59617.1
10.35,80464.35
16.54,82634.11
19.63,82660.66
7.56,52923.36
18.24,82434.12
15.54,76050.16
2.98,23352.46
16.72,81606.16
9.63,41724.41
14.18,69842.33
14.05,67564.36
17.72,82999.05
15.22,72167.93
16.49,82995.37
6.42,54567.88
19.46,96004.52
13.23,81705.55
15.47,75170.18
17.18,87719.41
2.48,36577.74
6.73,78021.05
16.72,77671.96
18.44,95849.4
15.12,71068.06
9.65,54202.26
5.02,39709.31
10.5,65377.31
7.95,44114.95
17.71,79412.92
11.35,59548.04
7.84,52832.19
9.97,52403.61
18.67,92461.5
12.27,65065.44
4.58,46291.8
10.0,60508.96
9.31,71613.15
6.21,47697.47
14.73,66793.85
5.37,42077.95
9.85,59647.55
8.82,48603.88
9.34,69817.18
11.34,62194.79
13.67,67673.46
2.86,36462.32
5.77,37933.1
15.46,86829.35
18.15,94664.99
0.89,29170.99
1.47,34868.01
18.68,86370.71
2.96,23334.11
19.59,90945.38
16.56,78963.43
2.41,17157.02
2.05,23713.93
19.55,83567.79
5.1,34407.23
10.77,73373.18
4.72,45632.01
12.01,74767.0
16.8,87878.7
13.14,79647.73
0.93,28478.59
11.9,78788.63
13.22,61420.03
4.02,38520.95
15.24,70149.16
12.54,78816.15
0.19,29026.65
19.01,101032.42
8.91,44962.83
4.65,36447.02
1.72,16762.24
7.49,54100.24
6.16,43118.75
5.96,51901.41
15.86,80777.32
12.92,53173.0
2.66,21030.69
14.16,75224.5
14.47,79369.52
10.29,43268.52
19.92,94035.87
5.67,36704.33
1.17,20210.18
0.58,21776.33
6.41,48426.52
9.96,54201.9
1.56,14587.02
11.32,65530.97
18.02,85255.36
15.94,73274.11
13.45,69610.18
13.23,68538.38
14.61,76473.14
9.88,57611.33
8.04,54449.26
6.13,46077.03
1.99,38530.84
11.24,77029.28
9.45,57955.19
2.38,28350.3
5.37,32284.15
15.74,85274.99
5.11,35672.33
8.51,73580.71
3.23,58524.92
3.4,35185.03
15.13,64624.19
1.33,34897.47
5.7,61742.15
19.62,83160.91
9.52,73496.92
12.12,52642.91
12.82,58221.66
3.92,41201.42
7.39,58987.62
8.01,52517.95
4.61,44743.18
4.68,50214.17
12.16,77312.34
2.17,27614.89
2.58,27132.54
11.47,73559.75
8.99,60087.37
12.24,72545.21
0.54,21597.7
14.1,79448.55
17.0,75736.39
10.48,63667.75
16.82,84752.99
7.99,53925.82
1.58,36774.28
7.55,43266.46
8.93,61661.2
17.31,85752.85
6.69,42097.74
6.3,36482.51
17.76,102270.63
5.02,42012.02
12.85,67131.52
6.53,38714.97
19.03,100311.15
3.79,46362.42
14.48,82223.68
11.0,63016.22
19.57,99519.61
19.88,87993.37
15.87,82299.78
2.07,31807.33
9.38,59966.86
17.09,70310.62
12.77,84651.34
17.58,99476.11
15.99,71755.37
6.26,51526.13
3.9,26758.74
6.45,48250.38
13.92,56150.33
9.62,56337.23
0.88,24167.3
14.85,86227.32
0.89,41476.6
8.19,67179.2
9.25,66625.98
10.06,60871.22
2.78,37842.74
14.96,80412.81
16.99,75013.51
13.96,83020.45
19.02,97095.41
5.15,48917.07
3.21,17999.34
1.35,33332.66
14.43,83551.51
3.24,36225.56
18.76,86666.77
11.97,55985.24
16.08,69816.31
8.69,56663.55
14.7,74561.18
8.87,54065.38
10.78,74944.86
15.47,69103.4
4.76,38905.13
17.69,100468.54
14.33,72644.18
14.93,77788.11
4.76,40270.67
1.8,36955.19
1.46,13659.62
12.94,68664.32
3.0,35935.72
19.98,86957.77
19.22,95022.07
0.58,33333.4
14.5,79369.53
5.22,57488.27
6.82,45396.11
4.81,45810.34
16.61,86946.55
17.88,85677.73
0.81,36895.3
5.4,46208.56
8.97,46800.54
10.44,67532.31
1.75,27140.29
16.6,80519.97
18.68,88389.07
8.06,59082.89
17.14,93638.27
13.53,71068.94
11.83,64687.33
16.38,65956.35
9.46,52433.46
10.95,55766.0
5.49,46716.16
14.24,73996.39
3.18,28863.66
4.86,43242.94
9.6,58053.22
7.71,31648.49
4.79,50633.85
3.84,46519.32
17.22,83359.44
11.82,69180.9
7.55,48815.31
16.92,71369.05
16.5,100071.02
2.22,38760.22
11.35,72234.82
6.11,44116.55
10.82,71866.26
14.36,64298.09
0.17,23631.63
10.27,66868.23
5.83,40406.81
10.68,69666.46
2.2,35118.97
16.35,83906.59
10.87,57296.26
4.22,43009.45
15.39,94338.3
0.76,29047.06
11.86,70945.36
10.04,65751.49
0.79,18619.83
4.99,41418.78
1.54,29095.65
14.65,59267.81
14.12,80715.75
1.79,23796.27
2.18,38081.57
17.61,80555.54
4.02,55396.23
6.07,44027.82
13.69,88268.9
1.21,27868.94
18.95,90908.2
0.46,39143.36
16.98,77099.44
7.22,50663.08
3.0,39819.09
7.55,54654.69
19.46,93443.09
10.58,61273.84
1.19,35921.15
18.83,92322.22
2.87,42780.34
1.09,31963.29
0.91,33381.45
16.53,91911.95
3.06,33230.69
3.58,46380.4
18.88,89833.56
12.23,56607.49
5.71,42345.76
11.73,60270.21
4.86,45019.15
9.89,57312.34
6.69,49446.55
12.45,76697.61
15.18,90002.8
6.97,51737.14
2.88,43759.11
7.11,48484.69
15.16,65565.57
15.74,70661.14
15.71,78422.9
19.49,99584.82
16.5,81191.83
19.37,102287.15
12.54,83528.65
4.59,33948.19
12.16,84572.63
3.96,25770.43
1.71,-38154.07
6.03,45824.52
7.26,48531.54
14.18,74558.0
7.26,44015.61
0.06,104836.23
18.34,83649.86
11.79,61742.2
4.22,28719.06
5.05,36814.83
2.48,28087.86
18.13,82319.37
4.6,39708.96
18.81,81927.3
5.29,56257.95
15.99,79725.18
0.21,28723.92
9.67,65723.48
7.38,67044.52
6.69,55700.07
19.84,92468.29
14.42,66878.78
5.12,45609.21
15.05,86169.3
2.59,35205.27
18.52,90336.72
8.53,56554.91
3.81,23388.12
5.46,45269.18
